exposure_id,user_id,campaign_id,exposure_date,offer_amount,is_holdout,redeemed,propensity_at_exposure
exp_c5efa4d958,u_10098,c_nfl_draft,2025-04-24,66.2,False,True,0.248
exp_03e9b2695b,u_10099,c_nfl_draft,2025-04-24,83.49,False,True,0.142
exp_b283fb5567,u_10000,c_nba_playoffs,2025-05-01,20.28,False,True,0.338
exp_5c8c674b3c,u_10001,c_nba_playoffs,2025-05-01,30.1,False,True,0.757
exp_0dc67960ec,u_10002,c_nba_playoffs,2025-05-01,17.21,False,False,0.501
exp_e6d7a54545,u_10008,c_nba_playoffs,2025-05-01,28.1,False,True,0.666
exp_69d0b98a55,u_10013,c_nba_playoffs,2025-05-01,41.71,False,True,0.206
exp_7582318de5,u_10016,c_nba_playoffs,2025-05-01,37.46,False,True,0.359
exp_7478da6df3,u_10018,c_nba_playoffs,2025-05-01,44.93,False,True,0.247
exp_bb1efb25dc,u_10019,c_nba_playoffs,2025-05-01,33.86,False,True,0.302
exp_8d3a64c9dd,u_10022,c_nba_playoffs,2025-05-01,19.4,False,True,0.303
exp_34aedaed7c,u_10023,c_nba_playoffs,2025-05-01,26.64,False,True,0.314
exp_75eec98638,u_10028,c_nba_playoffs,2025-05-01,22.25,False,True,0.406
exp_03c563735d,u_10029,c_nba_playoffs,2025-05-01,27.28,False,True,0.396
exp_0b8263e5c7,u_10032,c_nba_playoffs,2025-05-01,0.0,True,False,0.133
exp_fa735e9744,u_10034,c_nba_playoffs,2025-05-01,35.79,False,True,0.701
exp_7e988e6d3c,u_10035,c_nba_playoffs,2025-05-01,0.0,True,False,0.494
exp_1c82806e9f,u_10036,c_nba_playoffs,2025-05-01,16.31,False,True,0.351
exp_bbda48306d,u_10039,c_nba_playoffs,2025-05-01,24.6,False,True,0.385
exp_f4c6b8aecb,u_10044,c_nba_playoffs,2025-05-01,30.78,False,True,0.482
exp_935f7c392f,u_10046,c_nba_playoffs,2025-05-01,36.74,False,True,0.319
exp_8cff00dccd,u_10052,c_nba_playoffs,2025-05-01,0.0,True,False,0.828
exp_60add010ed,u_10053,c_nba_playoffs,2025-05-01,40.7,False,True,0.817
exp_deab9df12d,u_10055,c_nba_playoffs,2025-05-01,19.9,False,True,0.702
exp_d1946dca40,u_10059,c_nba_playoffs,2025-05-01,30.01,False,True,0.232
exp_fd3a5c3070,u_10060,c_nba_playoffs,2025-05-01,29.38,False,True,0.256
exp_f5d3e40ff6,u_10061,c_nba_playoffs,2025-05-01,39.27,False,True,0.235
exp_4efa17842f,u_10063,c_nba_playoffs,2025-05-01,21.9,False,True,0.328
exp_49fe284376,u_10064,c_nba_playoffs,2025-05-01,47.47,False,True,0.259
exp_26b0d608d5,u_10065,c_nba_playoffs,2025-05-01,15.15,False,True,0.416
exp_0bbee83dac,u_10070,c_nba_playoffs,2025-05-01,26.8,False,True,0.543
exp_f836f7ccba,u_10074,c_nba_playoffs,2025-05-01,27.45,False,True,0.491
exp_945baf42f9,u_10076,c_nba_playoffs,2025-05-01,35.46,False,True,0.677
exp_c5cec86b1d,u_10078,c_nba_playoffs,2025-05-01,21.73,False,True,0.278
exp_8974b07947,u_10079,c_nba_playoffs,2025-05-01,38.41,False,True,0.077
exp_41253f1378,u_10082,c_nba_playoffs,2025-05-01,27.26,False,True,0.383
exp_707093f41d,u_10084,c_nba_playoffs,2025-05-01,35.66,False,True,0.36
exp_27bcf71aae,u_10085,c_nba_playoffs,2025-05-01,31.24,False,False,0.408
exp_940ec0c2d3,u_10091,c_nba_playoffs,2025-05-01,0.0,True,False,0.599
exp_803ce686ee,u_10097,c_nba_playoffs,2025-05-01,32.64,False,True,0.271
exp_3df4107f55,u_10004,c_summer_re,2025-07-01,70.73,False,True,0.247
exp_717b9cf717,u_10005,c_summer_re,2025-07-01,30.29,False,True,0.29
exp_a06e342195,u_10006,c_summer_re,2025-07-01,23.64,False,True,0.237
exp_b9055922e1,u_10008,c_summer_re,2025-07-01,36.32,False,False,0.666
exp_507c310371,u_10009,c_summer_re,2025-07-01,30.09,False,True,0.61
exp_197f4eccba,u_10010,c_summer_re,2025-07-01,0.0,True,False,0.207
exp_3d2ac00b32,u_10014,c_summer_re,2025-07-01,58.42,False,True,0.156
exp_a69c646195,u_10015,c_summer_re,2025-07-01,57.26,False,True,0.173
exp_8356815641,u_10019,c_summer_re,2025-07-01,58.68,False,True,0.302
exp_1b30d8146e,u_10020,c_summer_re,2025-07-01,28.95,False,True,0.542
exp_0255c69e87,u_10021,c_summer_re,2025-07-01,54.67,False,True,0.208
exp_8361f5cbbb,u_10023,c_summer_re,2025-07-01,57.95,False,True,0.314
exp_28ffb3e0d7,u_10026,c_summer_re,2025-07-01,44.99,False,True,0.165
exp_e73aaefb98,u_10029,c_summer_re,2025-07-01,43.19,False,True,0.396
exp_101a74163e,u_10031,c_summer_re,2025-07-01,38.39,False,True,0.024
exp_1eefb91112,u_10032,c_summer_re,2025-07-01,31.86,False,True,0.133
exp_5a1ed563c7,u_10035,c_summer_re,2025-07-01,46.71,False,True,0.494
exp_d752274533,u_10037,c_summer_re,2025-07-01,21.87,False,True,0.157
exp_d8032e5f86,u_10040,c_summer_re,2025-07-01,45.93,False,True,0.244
exp_8243319781,u_10041,c_summer_re,2025-07-01,35.03,False,True,0.351
exp_cec564c039,u_10042,c_summer_re,2025-07-01,64.21,False,True,0.108
exp_b35f994789,u_10046,c_summer_re,2025-07-01,0.0,True,False,0.319
exp_7c61a2e119,u_10049,c_summer_re,2025-07-01,59.02,False,True,0.368
exp_ea4a888df7,u_10056,c_summer_re,2025-07-01,65.12,False,True,0.08
exp_3d84f97939,u_10057,c_summer_re,2025-07-01,42.74,False,True,0.174
exp_ed272cdbbe,u_10058,c_summer_re,2025-07-01,52.93,False,True,0.162
exp_50dec05081,u_10064,c_summer_re,2025-07-01,0.0,True,False,0.259
exp_cbc8651aea,u_10066,c_summer_re,2025-07-01,59.47,False,True,0.046
exp_acce94cf62,u_10068,c_summer_re,2025-07-01,73.65,False,True,0.156
exp_544a6c4258,u_10071,c_summer_re,2025-07-01,50.12,False,True,0.192
exp_f7cd9c504a,u_10072,c_summer_re,2025-07-01,73.75,False,True,0.278
exp_d5d4429465,u_10073,c_summer_re,2025-07-01,71.08,False,True,0.678
exp_f3d8455397,u_10075,c_summer_re,2025-07-01,29.92,False,True,0.624
exp_8ed8f68161,u_10077,c_summer_re,2025-07-01,38.36,False,True,0.264
exp_3f7e52f919,u_10078,c_summer_re,2025-07-01,46.71,False,True,0.278
exp_71738419ed,u_10079,c_summer_re,2025-07-01,35.44,False,True,0.077
exp_71fd07e338,u_10083,c_summer_re,2025-07-01,68.22,False,True,0.223
exp_b32c6f0e73,u_10090,c_summer_re,2025-07-01,58.47,False,True,0.252
exp_e99a60cda7,u_10091,c_summer_re,2025-07-01,70.79,False,True,0.599
exp_da82d5a983,u_10098,c_summer_re,2025-07-01,64.0,False,True,0.248
exp_4394e1380f,u_10099,c_summer_re,2025-07-01,0.0,True,False,0.142
exp_ec7b94d0f8,u_10002,c_nfl_open,2025-09-04,25.73,False,True,0.501
exp_4fb66c3773,u_10008,c_nfl_open,2025-09-04,32.71,False,True,0.666
exp_f9d1f6e50d,u_10009,c_nfl_open,2025-09-04,15.93,False,False,0.61
exp_ca371c272b,u_10012,c_nfl_open,2025-09-04,29.87,False,False,0.54
exp_438af7c35b,u_10019,c_nfl_open,2025-09-04,27.7,False,True,0.302
exp_e91607073b,u_10020,c_nfl_open,2025-09-04,39.27,False,False,0.542
exp_c622a0f948,u_10025,c_nfl_open,2025-09-04,14.96,False,False,0.588
exp_0c5267d17a,u_10029,c_nfl_open,2025-09-04,30.93,False,True,0.396
exp_e968936d43,u_10030,c_nfl_open,2025-09-04,25.6,False,True,0.445
exp_bed9bd4c04,u_10035,c_nfl_open,2025-09-04,28.87,False,False,0.494
exp_6514af0fa9,u_10037,c_nfl_open,2025-09-04,34.55,False,True,0.157
exp_773450132a,u_10038,c_nfl_open,2025-09-04,29.08,False,False,0.508
exp_c05fcf372f,u_10045,c_nfl_open,2025-09-04,0.0,True,False,0.581
exp_dbb8e85821,u_10051,c_nfl_open,2025-09-04,11.96,False,True,0.496
exp_5af8afbc52,u_10055,c_nfl_open,2025-09-04,25.36,False,False,0.702
exp_9e46db8f3a,u_10062,c_nfl_open,2025-09-04,11.76,False,False,0.534
exp_dec2bd3c08,u_10067,c_nfl_open,2025-09-04,27.12,False,False,0.574
exp_c274858953,u_10069,c_nfl_open,2025-09-04,35.06,False,False,0.676
exp_f4c387807b,u_10070,c_nfl_open,2025-09-04,36.93,False,True,0.543
exp_3618ca6ee3,u_10073,c_nfl_open,2025-09-04,19.23,False,False,0.678
exp_db8c07a52b,u_10074,c_nfl_open,2025-09-04,20.91,False,False,0.491
exp_6ef4bf8bcf,u_10075,c_nfl_open,2025-09-04,23.05,False,True,0.624
exp_fc70bc8de1,u_10076,c_nfl_open,2025-09-04,20.89,False,True,0.677
exp_404ae2d857,u_10081,c_nfl_open,2025-09-04,39.79,False,False,0.612
exp_293085ed82,u_10086,c_nfl_open,2025-09-04,31.07,False,True,0.593
exp_e75de4907a,u_10087,c_nfl_open,2025-09-04,19.33,False,False,0.548
exp_c99d0eb467,u_10088,c_nfl_open,2025-09-04,16.59,False,False,0.787
exp_2913ae7ad6,u_10091,c_nfl_open,2025-09-04,19.62,False,False,0.599
exp_b1b48f790c,u_10092,c_nfl_open,2025-09-04,17.7,False,True,0.623
exp_4f5ba49312,u_10094,c_nfl_open,2025-09-04,16.88,False,True,0.543
exp_ebfc49b196,u_10095,c_nfl_open,2025-09-04,12.66,False,False,0.478
