user_id,registration_date,state,primary_sport,segment_label,days_since_last_bet,days_since_last_deposit,bet_freq_30d,avg_bet_size,parlay_rate,live_bet_rate,ngr_90d,promo_redemption_rate,n_promos_received_1y,avg_promo_value_received,propensity_score,lift_probability,churn_risk_30d,composite_score,optimal_offer_size
u_10011,2024-03-20,NJ,Other,always_on,0,12,0.707,35.43,0.13,0.41,272.99,1.0,1,80.25,0.795,0.215,0.145,0.0064,75.26
u_10012,2023-02-23,TN,Other,active_mid,0,4,0.63,32.17,0.3,0.26,271.25,0.0,1,10.74,0.646,0.315,0.01,0.0011,58.28
u_10013,2023-03-18,CO,NFL,casual,5,4,0.261,21.74,0.4,0.18,88.76,1.0,1,49.07,0.254,0.652,0.395,0.1921,25.75
u_10014,2024-02-27,PA,MLB,dormant_high_value,9,3,0.239,18.8,0.18,0.23,150.76,0.5,2,27.67,0.285,0.58,0.284,0.1177,40.76
u_10015,2023-08-20,IL,Other,dormant_high_value,1,2,0.315,21.25,0.2,0.17,163.78,0.667,3,22.2,0.238,0.644,0.225,0.1106,33.56
u_10016,2023-05-20,NJ,NFL,casual,0,10,0.38,25.0,0.3,0.14,41.44,0.0,1,0.0,0.354,0.58,0.244,0.0913,17.25
u_10017,2024-04-21,IL,NBA,bonus_seeker,4,9,0.435,27.12,0.42,0.06,28.35,0.0,0,0.0,0.363,0.533,0.314,0.1066,21.08
u_10018,2023-06-03,CO,Other,casual,3,5,0.196,16.85,0.3,0.12,36.05,1.0,1,16.03,0.221,0.758,0.322,0.1901,25.38
u_10019,2024-08-25,PA,NFL,casual,4,10,0.283,21.74,0.44,0.15,32.9,1.0,2,52.97,0.264,0.648,0.326,0.1552,22.95
u_10020,2023-02-03,VA,MLB,active_mid,0,5,0.522,28.75,0.27,0.32,169.71,0.0,1,14.89,0.531,0.361,0.01,0.0017,32.62
u_10021,2023-10-01,CO,NFL,dormant_high_value,4,0,0.228,18.32,0.3,0.21,72.83,0.667,3,17.38,0.177,0.756,0.27,0.1676,26.57
u_10022,2024-04-14,NY,Other,casual,0,2,0.239,19.95,0.39,0.15,43.02,1.0,1,44.3,0.25,0.643,0.439,0.2118,25.12
u_10023,2024-06-08,PA,Other,casual,4,1,0.25,20.6,0.35,0.11,25.56,1.0,1,17.91,0.314,0.587,0.417,0.1681,17.49
u_10024,2023-07-20,VA,Other,bonus_seeker,0,12,0.315,21.74,0.54,0.12,11.77,0.0,0,0.0,0.425,0.482,0.272,0.0754,15.0
u_10025,2023-01-18,NJ,NBA,active_mid,1,26,0.543,29.4,0.26,0.24,139.38,0.5,2,34.9,0.503,0.403,0.249,0.0499,38.44
u_10026,2024-04-18,NY,NHL,dormant_high_value,1,21,0.185,15.38,0.27,0.21,87.22,0.5,2,22.22,0.201,0.712,0.156,0.089,22.67
u_10027,2023-09-04,NJ,NHL,bonus_seeker,3,4,0.38,25.16,0.47,0.06,19.99,1.0,1,20.89,0.462,0.434,0.118,0.0275,27.16
u_10028,2023-01-07,NJ,NFL,bonus_seeker,4,1,0.239,17.83,0.53,0.11,15.46,0.0,0,0.0,0.249,0.618,0.376,0.1741,15.0
u_10029,2023-06-30,MI,NHL,dormant_high_value,6,17,0.326,21.74,0.29,0.2,128.17,0.5,2,36.56,0.322,0.642,0.118,0.0514,42.81
u_10030,2024-06-14,MA,NFL,active_mid,0,12,0.565,34.29,0.28,0.3,87.83,0.0,1,15.4,0.596,0.242,0.333,0.0325,25.01
u_10031,2023-12-26,PA,NBA,dormant_high_value,2,19,0.261,17.34,0.25,0.2,64.07,0.5,2,36.28,0.212,0.615,0.388,0.1881,15.0
u_10032,2024-05-22,MA,NFL,dormant_high_value,13,3,0.13,16.2,0.24,0.19,77.21,0.5,2,19.23,0.107,0.748,0.391,0.2611,26.95
u_10033,2023-12-25,PA,NFL,always_on,0,2,0.815,40.16,0.14,0.34,470.02,0.0,2,24.95,0.848,0.023,0.016,0.0001,92.02
u_10034,2024-10-13,VA,NFL,always_on,0,12,0.793,41.63,0.17,0.39,456.84,0.0,0,0.0,0.768,0.226,0.01,0.0005,81.04
u_10035,2024-08-13,TN,MLB,active_mid,2,5,0.5,27.93,0.31,0.34,156.4,0.5,2,36.75,0.569,0.38,0.324,0.0531,44.43
u_10036,2023-04-02,PA,NFL,casual,4,3,0.37,22.07,0.34,0.14,55.35,1.0,3,27.34,0.289,0.623,0.16,0.0708,22.42
u_10037,2024-06-25,IN,MLB,dormant_high_value,1,11,0.163,14.89,0.24,0.18,42.38,1.0,2,61.84,0.231,0.595,0.186,0.085,24.26
u_10038,2023-03-15,MI,NFL,active_mid,2,0,0.511,29.57,0.29,0.29,146.1,0.0,1,24.36,0.495,0.452,0.052,0.0119,36.6
u_10039,2024-01-03,NY,NFL,casual,2,19,0.304,21.41,0.31,0.15,48.9,1.0,1,31.72,0.35,0.496,0.223,0.0719,17.89
u_10040,2023-10-29,NY,NBA,dormant_high_value,0,6,0.217,17.66,0.24,0.24,47.15,0.5,2,14.34,0.335,0.667,0.322,0.1429,22.77
u_10041,2023-10-16,PA,MLB,bonus_seeker,2,0,0.413,24.67,0.55,0.13,40.95,0.0,0,0.0,0.406,0.525,0.21,0.0654,17.86
u_10042,2023-08-16,MI,NFL,dormant_high_value,0,20,0.207,17.01,0.22,0.18,118.69,0.75,4,21.43,0.197,0.626,0.268,0.1345,30.03
u_10043,2023-09-05,TN,NBA,always_on,0,119,0.815,41.14,0.18,0.43,733.03,0.0,0,0.0,0.785,0.173,0.312,0.0117,97.41
u_10044,2024-05-26,MI,NHL,casual,9,0,0.272,19.95,0.33,0.18,38.56,1.0,1,48.35,0.312,0.641,0.301,0.133,23.66
u_10045,2024-05-09,IN,NBA,active_mid,0,3,0.543,28.91,0.29,0.27,175.13,1.0,1,21.08,0.491,0.386,0.352,0.0691,44.2
u_10046,2023-02-13,IL,NFL,casual,1,2,0.326,22.55,0.35,0.13,30.98,0.5,2,14.22,0.32,0.545,0.238,0.088,21.52
u_10047,2023-07-02,MI,NFL,bonus_seeker,1,0,0.457,25.33,0.51,0.07,42.34,1.0,1,47.24,0.394,0.577,0.27,0.0945,19.15
u_10048,2023-12-12,MI,NHL,bonus_seeker,2,4,0.348,25.49,0.42,0.11,39.5,1.0,1,18.74,0.305,0.501,0.368,0.1284,23.71
u_10049,2023-03-16,PA,NFL,dormant_high_value,0,1,0.174,15.87,0.24,0.26,93.11,1.0,3,47.57,0.179,0.721,0.309,0.1832,41.6
u_10050,2024-01-19,CO,NHL,always_on,0,48,0.87,44.89,0.2,0.43,397.76,0.0,0,0.0,0.799,0.138,0.188,0.0052,77.64
u_10051,2023-03-21,MI,NBA,active_mid,0,89,0.543,31.52,0.26,0.33,130.07,0.5,2,7.12,0.627,0.283,0.01,0.0011,30.22
u_10052,2023-01-09,NJ,Other,always_on,0,223,0.804,41.47,0.13,0.39,572.44,0.0,0,0.0,0.686,0.318,0.194,0.0194,92.87
u_10053,2023-04-10,MI,MLB,always_on,0,78,0.761,39.02,0.2,0.38,553.0,0.0,1,21.91,0.763,0.233,0.033,0.0018,100.0
u_10054,2023-04-10,NJ,Other,bonus_seeker,0,47,0.304,20.6,0.49,0.13,19.95,1.0,1,49.85,0.346,0.503,0.366,0.1206,23.27
u_10055,2023-11-15,CO,NFL,always_on,0,31,0.815,39.02,0.25,0.43,492.0,0.0,0,0.0,0.864,0.013,0.116,0.0002,94.48
u_10056,2024-10-06,MI,MLB,dormant_high_value,0,15,0.141,16.03,0.25,0.22,82.75,1.0,2,53.84,0.145,0.737,0.481,0.303,35.36
u_10057,2024-09-21,NY,NBA,dormant_high_value,6,0,0.12,15.87,0.32,0.18,61.09,1.0,3,36.53,0.181,0.611,0.329,0.1646,25.96
u_10058,2023-09-07,NY,NBA,dormant_high_value,1,5,0.25,19.95,0.27,0.17,80.72,1.0,2,51.19,0.187,0.597,0.213,0.1033,21.1
u_10059,2023-03-16,PA,NBA,casual,4,18,0.272,20.43,0.36,0.15,62.61,1.0,2,51.24,0.411,0.501,0.198,0.0585,24.67
u_10060,2024-05-10,IN,NHL,casual,0,8,0.272,19.29,0.36,0.11,43.21,1.0,3,42.9,0.252,0.616,0.371,0.1709,15.0
u_10061,2023-05-24,NJ,Other,casual,7,2,0.196,17.17,0.33,0.07,35.34,1.0,1,44.87,0.284,0.587,0.327,0.1374,15.0
u_10062,2023-03-04,VA,MLB,active_mid,0,2,0.38,23.21,0.34,0.25,117.58,1.0,4,43.83,0.399,0.424,0.404,0.1028,35.93
u_10063,2023-06-28,NJ,NBA,casual,0,0,0.337,25.16,0.34,0.17,46.92,0.5,2,33.53,0.313,0.633,0.399,0.1731,24.49
u_10064,2024-04-19,TN,NBA,casual,6,5,0.304,22.39,0.4,0.14,81.86,1.0,2,53.94,0.27,0.566,0.279,0.1154,28.36
u_10065,2023-03-04,VA,MLB,bonus_seeker,0,0,0.38,25.82,0.46,0.14,25.01,0.0,0,0.0,0.266,0.623,0.411,0.1879,15.0
u_10066,2023-04-06,CO,NFL,dormant_high_value,14,1,0.12,14.08,0.23,0.17,70.36,1.0,3,44.32,0.216,0.684,0.288,0.1541,23.66
u_10067,2023-06-05,CO,NFL,active_mid,0,7,0.5,31.2,0.23,0.29,146.81,0.0,1,17.96,0.555,0.439,0.2,0.0389,40.72
u_10068,2023-06-08,CO,NFL,dormant_high_value,0,9,0.174,16.52,0.23,0.23,68.28,1.0,3,38.49,0.221,0.633,0.437,0.2156,24.91
u_10069,2024-10-12,IL,NFL,always_on,0,84,0.707,33.32,0.16,0.4,487.1,0.0,1,10.19,0.738,0.255,0.01,0.0007,99.74
u_10070,2024-07-14,NJ,NFL,active_mid,0,4,0.511,27.61,0.27,0.36,105.81,0.0,1,0.0,0.476,0.435,0.205,0.0468,28.56
u_10071,2024-09-07,NJ,NFL,dormant_high_value,0,3,0.207,18.97,0.27,0.22,81.98,0.667,3,26.95,0.258,0.651,0.33,0.1594,34.67
u_10072,2024-08-29,NJ,NFL,dormant_high_value,15,19,0.185,15.87,0.28,0.14,66.08,0.5,2,48.3,0.13,0.844,0.448,0.3291,15.0
u_10073,2024-07-28,PA,NFL,active_mid,0,5,0.62,28.59,0.27,0.31,182.17,0.0,1,35.28,0.558,0.356,0.377,0.0593,50.3
u_10074,2024-06-12,NY,Other,active_mid,1,12,0.5,29.73,0.27,0.27,142.02,0.5,2,33.93,0.544,0.431,0.216,0.0426,29.02
u_10075,2023-08-26,IL,NBA,active_mid,3,39,0.478,26.47,0.16,0.35,147.27,1.0,2,58.04,0.557,0.276,0.389,0.0476,29.67
u_10076,2023-02-05,TN,NFL,active_mid,1,12,0.533,31.03,0.33,0.29,210.31,0.0,1,0.0,0.581,0.405,0.219,0.0371,50.3
u_10077,2024-08-09,PA,MLB,dormant_high_value,4,52,0.152,15.05,0.27,0.19,45.71,0.667,3,45.15,0.141,0.743,0.435,0.2771,19.34
u_10078,2023-03-26,CO,NFL,casual,0,6,0.402,25.82,0.32,0.15,63.89,1.0,1,31.71,0.316,0.575,0.441,0.1738,27.53
u_10079,2023-11-25,PA,Other,dormant_high_value,0,8,0.098,12.61,0.28,0.16,44.07,1.0,2,45.29,0.166,0.742,0.28,0.1735,29.76
u_10080,2024-01-14,IN,MLB,always_on,0,3,0.88,40.49,0.23,0.4,422.49,0.0,0,0.0,0.856,0.196,0.127,0.0036,71.08
u_10081,2023-04-12,VA,NFL,active_mid,0,6,0.652,35.27,0.3,0.32,348.11,0.0,1,30.19,0.576,0.313,0.224,0.0297,60.68
u_10082,2023-01-23,IN,NBA,casual,2,3,0.217,19.78,0.37,0.16,36.26,0.0,1,0.0,0.418,0.545,0.326,0.1034,24.88
u_10083,2023-03-03,TN,NHL,dormant_high_value,7,4,0.217,19.95,0.24,0.22,105.26,1.0,2,44.68,0.211,0.632,0.388,0.1938,36.49
u_10084,2024-03-05,NJ,Other,casual,3,4,0.326,23.21,0.44,0.17,89.12,1.0,1,49.6,0.278,0.575,0.363,0.151,23.5
u_10085,2023-04-22,MI,NBA,casual,0,11,0.359,22.55,0.29,0.16,49.02,0.5,2,36.68,0.375,0.623,0.367,0.1426,26.27
u_10086,2024-10-02,MA,NBA,active_mid,7,104,0.467,24.84,0.26,0.28,164.89,1.0,2,55.47,0.442,0.531,0.104,0.0309,34.4
u_10087,2023-10-09,NY,NFL,active_mid,1,2,0.522,29.89,0.31,0.33,200.65,0.0,1,13.41,0.641,0.243,0.125,0.0109,57.54
u_10088,2024-01-31,VA,Other,always_on,0,14,0.859,41.96,0.24,0.43,661.84,0.0,1,33.37,0.757,0.179,0.086,0.0038,87.19
u_10089,2023-05-21,NJ,NFL,bonus_seeker,4,0,0.337,21.58,0.47,0.12,19.42,1.0,1,24.33,0.188,0.599,0.357,0.1735,21.62
u_10090,2024-06-02,IL,Other,dormant_high_value,5,10,0.087,13.75,0.33,0.26,26.16,1.0,2,58.85,0.048,0.835,0.456,0.3628,15.0
u_10091,2023-10-17,NY,NBA,active_mid,1,1,0.587,31.85,0.28,0.34,137.03,0.667,3,23.14,0.664,0.308,0.01,0.001,36.19
u_10092,2024-08-27,PA,NBA,active_mid,0,18,0.685,38.37,0.26,0.32,283.96,1.0,2,50.8,0.637,0.267,0.01,0.001,58.35
u_10093,2024-04-03,MA,NBA,bonus_seeker,0,7,0.337,24.35,0.5,0.13,17.52,0.0,0,0.0,0.227,0.59,0.292,0.1331,22.64
u_10094,2023-01-18,CO,NFL,active_mid,1,6,0.543,30.71,0.27,0.26,127.15,0.5,2,20.42,0.463,0.482,0.177,0.0458,37.58
u_10095,2023-10-24,PA,NFL,bonus_seeker,2,1,0.391,23.04,0.49,0.13,33.6,0.0,1,0.0,0.369,0.52,0.203,0.0665,17.0
u_10096,2024-04-04,NY,NFL,bonus_seeker,6,0,0.326,22.55,0.46,0.09,20.5,0.0,0,0.0,0.433,0.479,0.348,0.0945,18.8
u_10097,2024-08-16,MI,NFL,casual,2,24,0.359,25.65,0.3,0.18,41.52,1.0,1,29.22,0.241,0.585,0.231,0.1026,24.27
u_10098,2023-02-14,NJ,MLB,dormant_high_value,1,0,0.25,20.11,0.32,0.19,96.73,1.0,2,61.51,0.261,0.572,0.501,0.2119,33.52
u_10099,2023-03-10,PA,NFL,dormant_high_value,23,11,0.13,14.4,0.21,0.18,58.14,1.0,2,73.35,0.07,0.805,0.263,0.1968,18.44
u_10100,2023-10-19,VA,NFL,dormant_high_value,7,5,0.272,20.43,0.21,0.17,141.72,1.0,2,51.61,0.323,0.628,0.558,0.2373,41.66
u_10101,2024-09-06,IN,Other,active_mid,0,12,0.467,24.02,0.27,0.25,167.18,0.5,2,57.0,0.476,0.341,0.255,0.0455,34.61
u_10102,2024-10-08,PA,NHL,casual,5,6,0.326,17.5,0.32,0.14,65.32,0.5,2,16.95,0.294,0.514,0.52,0.1887,15.0
u_10103,2023-08-14,MI,Other,bonus_seeker,4,0,0.402,24.67,0.52,0.13,45.58,0.0,0,0.0,0.381,0.566,0.1,0.0351,21.52
u_10104,2024-08-29,MI,Other,always_on,1,10,0.793,40.0,0.19,0.36,435.93,1.0,1,49.98,0.709,0.217,0.066,0.0042,72.87
u_10105,2024-02-23,IN,NFL,casual,4,18,0.228,19.13,0.35,0.2,34.42,1.0,2,50.51,0.178,0.693,0.159,0.0908,22.92
u_10106,2024-09-20,CO,NFL,casual,7,8,0.152,15.87,0.33,0.14,17.52,1.0,1,47.95,0.33,0.619,0.288,0.1194,26.1
u_10107,2024-07-29,NY,MLB,active_mid,0,29,0.62,33.48,0.33,0.32,198.03,0.0,1,27.7,0.631,0.291,0.162,0.0174,43.53
u_10108,2023-04-29,NY,MLB,casual,1,3,0.304,18.8,0.39,0.18,31.36,1.0,1,49.94,0.409,0.519,0.232,0.0713,23.03
u_10109,2024-03-21,NY,NFL,dormant_high_value,0,6,0.174,16.68,0.26,0.2,126.03,0.667,3,42.88,0.166,0.727,0.273,0.1657,29.01
u_10110,2023-08-25,IL,NHL,casual,0,5,0.38,23.37,0.33,0.12,92.22,1.0,1,30.27,0.405,0.483,0.074,0.0213,27.44
u_10111,2023-03-13,NJ,NFL,dormant_high_value,3,12,0.326,21.41,0.21,0.2,108.05,1.0,2,55.1,0.229,0.677,0.303,0.1584,35.59
u_10112,2023-10-21,IL,NFL,always_on,0,4,0.837,35.92,0.2,0.43,319.89,0.0,0,0.0,0.845,0.168,0.174,0.0045,66.29
u_10113,2024-05-09,PA,NBA,active_mid,1,14,0.63,32.01,0.26,0.35,176.01,1.0,1,19.26,0.604,0.319,0.01,0.0013,29.36
u_10114,2023-09-03,NY,NBA,active_mid,3,10,0.652,35.27,0.3,0.35,185.75,0.0,1,22.57,0.699,0.298,0.01,0.0009,45.75
u_10115,2024-01-01,IN,NBA,always_on,1,79,0.739,37.88,0.14,0.36,256.57,0.0,0,0.0,0.768,0.112,0.01,0.0003,50.71
u_10116,2023-06-18,PA,NFL,active_mid,1,7,0.652,32.66,0.35,0.27,198.83,0.0,1,0.0,0.52,0.36,0.164,0.0283,38.47
u_10117,2024-02-09,NJ,NHL,dormant_high_value,0,30,0.163,17.34,0.24,0.24,70.04,1.0,2,36.88,0.1,0.719,0.196,0.1269,17.01
u_10118,2023-03-28,MI,NFL,always_on,0,43,0.793,41.14,0.22,0.37,561.5,0.0,1,14.53,0.752,0.248,0.267,0.0164,95.52
u_10119,2024-10-26,NJ,NFL,bonus_seeker,1,0,0.402,25.16,0.46,0.12,38.95,0.0,0,0.0,0.373,0.529,0.355,0.1176,20.92
u_10120,2023-06-14,MA,NHL,active_mid,2,4,0.543,30.05,0.29,0.28,169.44,1.0,2,50.42,0.52,0.404,0.386,0.0748,39.87
u_10121,2023-07-16,MI,Other,always_on,0,141,0.783,38.04,0.23,0.42,499.75,0.0,0,0.0,0.745,0.227,0.01,0.0006,79.1
u_10122,2024-01-11,PA,NHL,casual,1,7,0.272,21.9,0.39,0.14,45.7,1.0,1,33.18,0.252,0.71,0.114,0.0604,22.04
u_10123,2024-05-23,MI,NHL,dormant_high_value,7,4,0.185,17.99,0.19,0.22,65.02,0.333,3,31.05,0.189,0.708,0.359,0.2061,33.38
u_10124,2023-07-07,CO,MLB,casual,4,1,0.337,20.6,0.38,0.14,37.09,1.0,1,45.91,0.371,0.522,0.167,0.0548,23.73
u_10125,2023-03-17,PA,NBA,casual,1,5,0.304,21.74,0.37,0.16,32.74,0.0,1,0.0,0.292,0.619,0.342,0.1497,15.0
u_10126,2024-08-23,NJ,NFL,active_mid,0,1,0.478,27.77,0.25,0.3,153.56,1.0,2,37.58,0.515,0.413,0.184,0.0369,46.72
u_10127,2023-04-16,NY,NBA,always_on,0,33,0.75,36.9,0.22,0.44,458.46,0.333,3,27.0,0.863,0.121,0.01,0.0002,84.91
u_10128,2023-04-24,VA,NFL,dormant_high_value,7,15,0.065,13.59,0.25,0.2,30.31,1.0,2,61.34,0.09,0.84,0.392,0.2996,19.96
u_10129,2024-03-10,PA,NFL,bonus_seeker,0,3,0.315,20.6,0.52,0.1,16.4,0.0,1,0.0,0.346,0.534,0.098,0.0343,17.37
u_10130,2024-07-22,CO,MLB,casual,0,31,0.511,26.79,0.36,0.16,155.19,1.0,2,54.82,0.459,0.425,0.277,0.0636,34.11
u_10131,2024-04-07,CO,NBA,casual,0,11,0.446,28.42,0.31,0.12,105.69,1.0,2,30.57,0.342,0.542,0.259,0.0925,35.0
u_10132,2023-04-29,IL,NFL,dormant_high_value,5,33,0.098,13.91,0.27,0.25,34.83,0.5,2,17.16,0.113,0.754,0.322,0.2156,15.0
u_10133,2023-07-24,NJ,NFL,casual,1,5,0.283,20.27,0.41,0.18,32.87,1.0,2,30.35,0.35,0.56,0.304,0.1105,22.98
u_10134,2023-08-07,PA,MLB,always_on,0,0,0.685,35.27,0.18,0.41,382.32,0.0,0,0.0,0.838,0.137,0.202,0.0045,86.19
u_10135,2024-02-09,MA,NFL,casual,3,15,0.359,21.58,0.3,0.22,54.2,1.0,2,30.26,0.413,0.426,0.342,0.0854,19.2
u_10136,2023-10-14,NY,NHL,bonus_seeker,0,4,0.457,28.91,0.58,0.11,24.26,1.0,1,72.3,0.342,0.536,0.416,0.1467,19.6
u_10137,2023-10-13,NY,NBA,active_mid,0,3,0.565,32.83,0.4,0.34,261.64,1.0,2,54.2,0.517,0.387,0.122,0.0228,55.52
u_10138,2024-02-18,NJ,NBA,casual,3,1,0.402,23.37,0.35,0.14,134.25,0.0,1,0.0,0.353,0.561,0.36,0.1305,39.09
u_10139,2024-01-25,PA,NBA,always_on,0,2,0.978,48.48,0.26,0.4,426.32,0.0,0,0.0,0.853,0.086,0.097,0.0012,66.28
u_10140,2023-02-16,IN,NHL,always_on,0,9,0.924,39.51,0.23,0.4,416.11,0.0,2,38.4,0.925,0.038,0.049,0.0001,74.42
u_10141,2024-09-24,NJ,NFL,casual,0,3,0.337,24.51,0.44,0.12,57.35,1.0,1,48.27,0.343,0.557,0.389,0.142,26.77
u_10142,2023-07-06,NY,MLB,bonus_seeker,2,0,0.272,21.9,0.47,0.1,22.22,1.0,1,37.43,0.396,0.49,0.19,0.0563,18.02
u_10143,2024-03-28,NY,NBA,casual,0,1,0.38,24.51,0.35,0.11,39.12,1.0,1,37.65,0.221,0.677,0.373,0.1968,19.69
u_10144,2024-06-27,MA,NFL,casual,1,31,0.261,19.29,0.43,0.17,30.91,1.0,1,42.99,0.221,0.711,0.408,0.2258,22.87
u_10145,2023-06-02,IL,NHL,dormant_high_value,15,11,0.141,15.38,0.2,0.22,57.81,0.5,2,47.36,0.067,0.708,0.297,0.196,21.41
u_10146,2023-03-01,PA,MLB,active_mid,0,18,0.478,30.87,0.26,0.29,94.0,0.0,1,0.0,0.45,0.425,0.222,0.0519,27.05
u_10147,2023-02-23,MA,MLB,bonus_seeker,1,2,0.348,23.04,0.49,0.08,34.09,0.5,2,8.27,0.274,0.733,0.143,0.076,22.47
u_10148,2023-03-01,IL,NHL,dormant_high_value,6,2,0.163,17.17,0.26,0.18,65.72,1.0,3,39.36,0.212,0.666,0.188,0.0988,30.58
u_10149,2024-02-17,IN,NHL,casual,12,15,0.13,15.54,0.34,0.17,19.93,0.667,3,22.92,0.162,0.745,0.266,0.1662,21.81
u_10150,2023-11-03,MI,MLB,always_on,0,45,0.815,37.07,0.19,0.42,407.29,0.0,0,0.0,0.802,0.164,0.039,0.0013,87.23
u_10151,2023-05-09,NY,NHL,casual,2,5,0.239,17.99,0.4,0.21,41.98,0.5,2,22.88,0.227,0.666,0.464,0.2386,23.26
u_10152,2023-01-24,NY,MLB,dormant_high_value,3,14,0.283,17.99,0.26,0.18,121.34,1.0,2,59.91,0.254,0.828,0.387,0.2391,31.79
u_10153,2023-05-29,NJ,MLB,bonus_seeker,2,0,0.478,26.63,0.52,0.09,31.62,0.0,0,0.0,0.568,0.318,0.289,0.0397,20.09
u_10154,2024-10-18,NY,NBA,always_on,0,5,0.761,36.41,0.21,0.39,295.3,1.0,1,29.85,0.792,0.288,0.015,0.0009,58.03
u_10155,2024-06-27,TN,MLB,casual,0,0,0.489,30.05,0.34,0.12,94.6,0.5,2,22.94,0.384,0.531,0.408,0.1334,17.82
u_10156,2023-04-08,PA,NFL,active_mid,0,49,0.522,30.71,0.31,0.3,155.34,0.5,2,18.87,0.514,0.513,0.236,0.0589,41.86
u_10157,2024-07-17,NY,NHL,active_mid,0,9,0.457,27.61,0.29,0.32,87.31,1.0,2,35.22,0.581,0.391,0.206,0.0338,42.1
u_10158,2023-05-20,MI,NHL,casual,0,40,0.326,23.04,0.35,0.1,61.1,1.0,2,32.0,0.337,0.531,0.215,0.0758,26.87
u_10159,2023-01-03,CO,NFL,active_mid,5,12,0.467,28.91,0.32,0.3,260.05,0.0,1,13.07,0.537,0.384,0.22,0.039,59.99
u_10160,2024-02-08,NJ,NHL,casual,3,9,0.293,19.13,0.35,0.16,57.78,1.0,1,18.9,0.239,0.571,0.213,0.0924,24.83
u_10161,2024-05-25,PA,NFL,active_mid,0,54,0.5,28.26,0.28,0.31,111.54,0.0,1,19.74,0.588,0.378,0.402,0.0626,41.9
u_10162,2024-02-17,PA,NFL,active_mid,5,19,0.62,34.78,0.3,0.27,301.36,1.0,1,21.83,0.547,0.452,0.01,0.002,49.89
u_10163,2024-07-24,MA,MLB,bonus_seeker,3,2,0.37,23.21,0.47,0.11,27.82,0.0,0,0.0,0.312,0.529,0.163,0.0595,21.26
u_10164,2023-06-16,NJ,NFL,dormant_high_value,0,5,0.141,14.4,0.37,0.17,45.74,0.0,2,0.0,0.192,0.681,0.427,0.2346,23.79
u_10165,2023-04-12,NY,NHL,active_mid,0,60,0.533,32.01,0.42,0.26,249.49,0.0,1,23.83,0.585,0.32,0.249,0.0331,57.1
u_10166,2024-03-01,CO,NHL,casual,4,46,0.228,16.03,0.34,0.18,44.04,0.5,2,28.36,0.151,0.693,0.39,0.2295,21.05
u_10167,2023-02-02,NY,NBA,dormant_high_value,4,8,0.25,20.6,0.28,0.2,149.38,0.5,2,10.13,0.289,0.576,0.12,0.0493,30.95
u_10168,2023-05-16,IL,NFL,dormant_high_value,5,21,0.228,20.43,0.3,0.22,76.15,1.0,2,43.93,0.309,0.604,0.401,0.1675,22.5
u_10169,2024-06-25,CO,NFL,bonus_seeker,0,6,0.413,25.65,0.48,0.12,18.11,0.0,0,0.0,0.403,0.539,0.166,0.0534,19.59
u_10170,2023-11-16,PA,NBA,active_mid,0,3,0.37,22.72,0.28,0.32,124.96,0.5,2,7.96,0.481,0.482,0.155,0.0387,43.95
u_10171,2024-04-21,VA,Other,dormant_high_value,4,21,0.174,17.66,0.24,0.19,77.02,0.5,2,40.82,0.325,0.517,0.294,0.1026,28.92
